artist_id,artist_name,country,region,collaborator_id,collaborator_name,collab_country,collab_region,collaboration_count,year
placeholder_57670349,Level 42,GB,Europe,placeholder_38583369,Aventura,US,Americas,6,2001
placeholder_56895401,Nek,IT,Europe,placeholder_44835157,Lil Skies,US,Americas,4,2009
placeholder_93161496,The Cranberries,IE,Europe,placeholder_26750426,Masked Wolf,AU,Oceania,2,2002
placeholder_27276650,Birdy,GB,Europe,placeholder_81729339,K-Ci & JoJo,US,Americas,3,2024
placeholder_18771648,The Rolling Stones,GB,Europe,placeholder_5884415,Stray Kids,KR,Asia,5,2010
placeholder_68663365,La Unión,ES,Europe,placeholder_29891066,Los Traileros Del Norte,MX,Americas,1,2013
placeholder_57670349,Level 42,GB,Europe,placeholder_66570655,Matt and Kim,US,Americas,1,2005
placeholder_57670349,Level 42,GB,Europe,placeholder_22853801,BLACKPINK,KR,Asia,5,1995
placeholder_33868833,James Blunt,GB,Europe,placeholder_75077671,Stardust,JP,Asia,4,2024
placeholder_18771648,The Rolling Stones,GB,Europe,placeholder_41243391,Finger Eleven,CA,Americas,1,2020
placeholder_61549120,The Whitest Boy Alive,DE,Europe,placeholder_87438957,Buckcherry,US,Americas,1,2017
placeholder_61209815,Beck,DE,Europe,placeholder_26530385,LiSA,JP,Asia,3,2002
placeholder_99364916,Gustav Mahler,AT,Europe,placeholder_66570655,Matt and Kim,US,Americas,1,2013
placeholder_97242704,Ronan Keating,IE,Europe,placeholder_41218324,Lamp,JP,Asia,2,2005
placeholder_12522737,Neneh Cherry,SE,Europe,placeholder_2882489,Los Caminantes,MX,Americas,1,2004
placeholder_99199315,Stealers Wheel,GB,Europe,placeholder_29630188,Latto,US,Americas,1,1993
placeholder_20284766,Europe,SE,Europe,placeholder_99379591,Bow Wow,JP,Asia,1,2021
placeholder_92287719,Kavinsky,FR,Europe,placeholder_35970853,Exile,JP,Asia,4,2002
placeholder_94916343,Duncan Dhu,ES,Europe,placeholder_37862040,Quavo,US,Americas,3,2012
placeholder_75042304,Portishead,GB,Europe,placeholder_27033144,Amaarae,GH,Africa,2,1993
placeholder_73720395,Dr. Alban,SE,Europe,placeholder_65767591,Midnight Oil,AU,Oceania,8,1996
placeholder_15299632,Sniff 'n' The Tears,GB,Europe,placeholder_67424912,Burna Boy,NG,Africa,3,1996
placeholder_92287719,Kavinsky,FR,Europe,placeholder_71963026,Junior M.A.F.I.A.,US,Americas,1,2018
placeholder_82194465,Slowdive,GB,Europe,placeholder_97547115,CKay,NG,Africa,1,2019
placeholder_92287719,Kavinsky,FR,Europe,placeholder_38074368,Carlos Vives,CO,Americas,2,1996
placeholder_15299632,Sniff 'n' The Tears,GB,Europe,placeholder_65767591,Midnight Oil,AU,Oceania,12,1990
placeholder_86069836,Elastica,GB,Europe,placeholder_50511408,Midnight Star,US,Americas,1,2021
placeholder_258149,Dua Lipa,GB,Europe,placeholder_11715790,Q-Tip,US,Americas,4,1993
placeholder_24161871,Richard Thompson,GB,Europe,placeholder_57526657,Korn,US,Americas,1,2014
placeholder_94852405,Alice Deejay,NL,Europe,placeholder_66438120,Eve,JP,Asia,1,2021
placeholder_27276650,Birdy,GB,Europe,placeholder_71963026,Junior M.A.F.I.A.,US,Americas,1,1993
placeholder_99199315,Stealers Wheel,GB,Europe,placeholder_26530385,LiSA,JP,Asia,1,2010
placeholder_15299632,Sniff 'n' The Tears,GB,Europe,placeholder_54733816,Beto Quintanilla,MX,Americas,2,2022
placeholder_19683121,Bullet For My Valentine,GB,Europe,placeholder_5884415,Stray Kids,KR,Asia,1,2022
placeholder_86069836,Elastica,GB,Europe,placeholder_86808465,d4vd,US,Americas,1,1994
placeholder_73720395,Dr. Alban,SE,Europe,placeholder_50511408,Midnight Star,US,Americas,2,2005
placeholder_99199315,Stealers Wheel,GB,Europe,placeholder_2309381,The Living Tombstone,IL,Asia,1,1995
placeholder_9355529,Sarah Brightman,GB,Europe,placeholder_74270016,5 Seconds of Summer,AU,Oceania,2,2023
placeholder_80864128,Echo & the Bunnymen,GB,Europe,placeholder_38583369,Aventura,US,Americas,1,2010
placeholder_92287719,Kavinsky,FR,Europe,placeholder_38583369,Aventura,US,Americas,1,2009
placeholder_19949804,KT Tunstall,GB,Europe,placeholder_13128740,J-Kwon,US,Americas,5,1994
placeholder_90131210,Petula Clark,GB,Europe,placeholder_66438120,Eve,JP,Asia,2,1996
placeholder_20284766,Europe,SE,Europe,placeholder_58956793,TOMORROW X TOGETHER,KR,Asia,1,2006
placeholder_82194465,Slowdive,GB,Europe,placeholder_66066984,Eddie Money,US,Americas,4,2005
placeholder_73940728,Alexander Rybak,NO,Europe,placeholder_18105154,Ladron,MX,Americas,1,2024
placeholder_99364916,Gustav Mahler,AT,Europe,placeholder_17610335,Iron & Wine,US,Americas,2,2023
placeholder_90131210,Petula Clark,GB,Europe,placeholder_46722049,Tame Impala,AU,Oceania,4,2009
placeholder_72136302,Yes,GB,Europe,placeholder_74270016,5 Seconds of Summer,AU,Oceania,1,1998
placeholder_94852405,Alice Deejay,NL,Europe,placeholder_42970472,Team Sleep,US,Americas,4,1999
placeholder_63103629,Alexi Murdoch,GB,Europe,placeholder_18105154,Ladron,MX,Americas,2,2011
