artist_name,country
"""Weird Al"" Yankovic",US
$NOT,US
$uicideboy$,US
(G)I-DLE,
*NSYNC,US
+44,US
03 Greedo,US
10 Ft. Ganja Plant,US
10 Years,US
"10,000 Maniacs",US
10cc,GB
112,US
1nonly,US
2 Chainz,US
2 LIVE CREW,US
2 Unlimited,NL
21 Savage,US
24kGoldn,US
2Pac,US
3 Doors Down,US
311,US
38 Special,US
3BallMTY,
3LW,US
3OH!3,US
4 Non Blondes,US
42 Dugg,US
5 Seconds of Summer,AU
50 Cent,US
69 Boyz,US
6LACK,US
6arelyhuman,US
6ix9ine,US
702,US
80purppp,CA
98º,
A Boogie Wit da Hoodie,US
A Day To Remember,US
A Great Big World,US
A Perfect Circle,US
A Touch Of Class,
A Tribe Called Quest,US
A$AP Ferg,
A$AP Rocky,US
ABBA,SE
AC/DC,AU
AFI,US
AJJ,US
AJR,US
ALO,NO
AURORA,NO
AWOLNATION,US
Aaliyah,US
Aaron Lewis,US
Aaron May,
Aaron Neville,US
Aaron Smith,US
Aaron Tippin,US
Aaron Y Su Grupo Ilusion,
Abel Zavala,
Ace of Base,SE
Adalberto Santiago,PR
Adam Hicks,US
Adam Lambert,US
Adan Romero,
Adele,GB
Adelitas Way,US
Adelmar Borrego,
Adina Howard,US
Adolescent's Orquesta,VE
Adriana Caselotti,US
Aerosmith,US
Afrika Bambaataa,US
Afroman,US
After 7,US
Air,FR
Air Supply,AU
Airbourne,AU
Akon,SN
Akwid,US
Al B. Sure!,US
Alabama,
Alabama Shakes,US
Alacranes Musical,
Alan Jackson,US
Alanis Morissette,CA
Alannah Myles,CA
Albert Collins,US
Alberto Pedraza,MX
Aldo Trujillo,MX
Alec Benjamin,US
Alejandra Guzman,MX
Alejandro Fernández,MX
Alejandro Sanz,ES
Aleks Syntek,MX
Alessia Cara,CA
Alesso,SE
Alex & Sierra,
Alex Bueno,DO
Alex Clare,GB
Alex G,US
Alex Gargolas,PR
Alex Gaudino,IT
Alex Ubago,ES
Alexander 23,
Alexander Rybak,NO
Alexander Scriabin,
Alexandra Stan,RO
Alexi Murdoch,GB
Alexis y Fido,
Alexisonfire,CA
Alfredo Olivas,MX
Ali Gatie,CA
Alice Cooper,US
Alice Deejay,NL
Alice In Chains,US
Alicia Keys,US
Alicia Myers,US
Alien Ant Farm,US
Alison Krauss,US
Alison Krauss & Union Station,US
All That Remains,US
All Time Low,US
All-4-One,US
Allman Brothers Band,US
Alter Bridge,US
Alvvays,CA
Aly & AJ,US
Amaarae,GH
Amanda Seyfried,US
Amber,NL
Amber Run,GB
American Authors,US
American Football,US
American Hi-Fi,US
Amerie,US
Aminé,US
Amos Lee,US
Amy Adams,US
Amy Grant,US
Amy Winehouse,GB
Ana Bárbara,
Ana Gabriel,MX
Anarbor,US
Anberlin,US
Andra Day,US
Andrea Bocelli,IT
Andrew Lloyd Webber,GB
Andrew W.K.,
Andrés Calamaro,AR
Andy Grammer,US
Andy Montañez,PR
Angel Y Khriz,
Angela Lansbury,US
Angus & Julia Stone,AU
Aniceto Molina,US
Anika Noni Rose,US
Animotion,US
Anna Nalick,US
Anne-Marie,GB
AnnenMayKantereit,DE
Annie Lennox,GB
Anquette Allen,
Anthony Gonzalez,FR
Anthony Hamilton,US
Anthony Santos,
Anthrax,US
Antonio Aguilar,MX
Antonín Dvořák,CZ
Anuel AA,PR
Aphex Twin,
Apocalyptica,FI
April Wine,CA
Aqua,DK
Arcade Fire,CA
Arcangelo Corelli,IT
Archie Eversole,US
Arctic Monkeys,GB
Arcángel,PR
Ariana Grande,US
Ariel Camacho y Los Plebes Del Rancho,
Arizona Zervas,US
Army Of Lovers,SE
Arrested Development,US
Artie Shaw,US
Ashanti,US
Ashe,US
Asher Roth,US
Ashes Remain,US
Ashlee Simpson,US
Asking Alexandria,GB
Atlantic Starr,US
Atlus,
Atomic Kitten,GB
Atreyu,US
Audioslave,US
August Alsina,US
Augustana,US
Auli'i Cravalho,
Autoheart,GB
Ava Max,US
Avant,US
Avenged Sevenfold,US
Aventura,US
Avicii,SE
Avril Lavigne,CA
Axwell /\ Ingrosso,
Ayesha Erotica,US
Azul Azul,BO
B*Witched,IE
B.B. King,US
B.o.B,US
B2K,US
BADBADNOTGOOD,CA
BLACKPINK,KR
BONES,US
BOYS LIKE GIRLS,US
BTS,KR
Baby Bash,US
Baby Boy Da Prince,US
Baby Keem,US
Baby Smoove,US
Baby Tate,US
Babyface,US
Bacilos,US
Backstreet Boys,US
Bad Bunny,PR
Bad Company,GB
Bad English,US
Bad Gyal,
Bad Meets Evil,US
Bad Omens,US
Bad Religion,US
Bad Suns,US
Bag Raiders,AU
Baha Men,BS
Bahamas,CA
Bailey Zimmerman,US
Bakar,GB
Bambee,NO
Bananarama,GB
Band of Horses,US
Banda Arkangel R-15,
Banda El Recodo,
Banda La Costeña,
Banda Los Recoditos,
Banda MS de Sergio Lizárraga,
Banda Machos,MX
Banda Maguey,MX
Banda Pequeños Musical,
Banda Tierra Sagrada,
Banda Toro,MX
Banda Zeta,MX
Barbra Streisand,US
Barenaked Ladies,CA
Barney,US
Barrett Strong,US
Barrington Levy,JM
Barry White,US
Basement,GB
Basement Jaxx,GB
Bastille,GB
Bazzi,US
Beach Bunny,US
Beach House,US
Beach Weather,
Beartooth,US
Beastie Boys,US
Beatriz Adriana,MX
Bebe & Cece Winans,US
Bebe Rexha,US
Beck,DE
Becky G,US
Bedroom,ES
Bee Gees,GB
Beenie Man,JM
Belanova,MX
Belinda Carlisle,US
Bell Biv DeVoe,US
Ben Folds Five,US
Ben Harper,US
Ben Harper And The Innocent Criminals,US
Ben Howard,GB
Ben Rector,US
Benny Benassi,IT
Benny Goodman,US
Benson Boone,US
Berlin,US
Beto Quintanilla,MX
Bette Midler,US
Better Than Ezra,US
Betty Wright,US
Beyoncé,US
Beyond,HK
Big & Rich,US
Big Boy,US
Big Daddy Kane,US
Big L,US
Big Mama Thornton,US
Big Mountain,US
Big Pun,US
Big Sean,US
Big Time Rush,US
Big Tymers,US
BigKayBeezy,US
BigXthaPlug,
Bill Medley,US
Bill Withers,US
Billie Eilish,US
Billy Bragg,GB
Billy Crystal,US
Billy Currington,US
Billy Dean,US
Billy Idol,GB
Billy Joel,US
Billy Ocean,GB
Billy Ray Cyrus,US
Billy Squier,US
Billy Stewart,US
Binomio de Oro de América,CO
Birdman,US
Birdy,GB
Biz Markie,US
Bizarrap,AR
Björk,IS
Black Box,IT
Black Box Recorder,GB
Black Eyed Peas,US
Black Gryph0n,
Black Label Society,US
Black Rob,US
Black Sheep,US
Black Star,US
Black Veil Brides,
BlackHawk,US
Blackstreet,US
Blackway,US
Blake Shelton,US
Blaque,US
Bleachers,US
Blessid Union Of Souls,US
Blind Melon,US
Blitzen Trapper,US
Bloc Party,GB
BlocBoy JB,US
Blondie,US
Bloodhound Gang,US
Bloodstone,US
Blu Cantrell,US
Blue Foundation,DK
Blue October,US
Blue Swede,SE
Blues Traveler,US
Blur,GB
Bo Burnham,US
Boards of Canada,GB
Bob Andy,JM
Bob Marley & The Wailers,JM
Bob Seger,US
Bobby Brown,US
Bobby Caldwell,US
Bobby Darin,US
Bobby McFerrin,US
Bobby Pulido,US
Bobby Shmurda,
Bobby Timmons Trio,US
Bobby V.,US
Bon Iver,US
Bon Jovi,US
Bone Crusher,US
Bone Thugs-N-Harmony,US
Bonnie Raitt,US
Bonnie Tyler,GB
Boosie Badazz,US
Bootsy Collins,US
Boston,
Bow Wow,JP
Bowling For Soup,US
Box Car Racer,US
Boy Meets Girl,US
Boyz II Men,US
Brad Kane,US
Brad Paisley,US
Brand New,US
Brandi Carlile,US
Brandon Lake,US
Brandy,US
Brantley Gilbert,US
Breaking Benjamin,US
Brenda Russell,US
Brent Cobb,US
Brent Faiyaz,US
Brett Eldredge,US
Brett Young,US
Brian McKnight,US
Bridgit Mendler,US
Bright Eyes,US
Bring Me The Horizon,GB
