genre,region,correlation,n_months
Country,US,0.243,21
Electronic,Africa/ME,0.26,17
Electronic,Asia,0.684,15
Electronic,LatAm,-0.493,21
Electronic,US,0.351,8
Hip-Hop,Africa/ME,0.579,21
Hip-Hop,Asia,-0.141,17
Hip-Hop,LatAm,0.708,21
Hip-Hop,US,0.381,21
Latin,Africa/ME,0.297,17
Latin,LatAm,-0.219,21
Latin,US,0.606,17
Pop,Africa/ME,0.791,21
Pop,Asia,0.231,21
Pop,LatAm,0.796,21
Pop,US,0.606,21
R&B,Africa/ME,0.553,21
R&B,Asia,0.519,21
R&B,LatAm,0.513,9
R&B,US,0.603,19
Rock,Africa/ME,0.567,20
Rock,Asia,0.756,21
Rock,US,-0.076,14
