month,genre,eu_share,global_share,divergence
2023-10,Country,0.0338,0.0339,-0.0001
2023-10,Electronic,0.1407,0.0541,0.0866
2023-10,Hip-Hop,0.2213,0.1325,0.0888
2023-10,Latin,0.0957,0.3695,-0.2738
2023-10,Pop,0.3934,0.3284,0.065
2023-10,R&B,0.0633,0.0505,0.0128
2023-10,Rock,0.0519,0.0311,0.0208
2023-11,Classical,0.0,0.0,0.0
2023-11,Country,0.0355,0.0352,0.0003
2023-11,Electronic,0.1577,0.0584,0.0993
2023-11,Hip-Hop,0.1796,0.1128,0.0668
2023-11,Latin,0.0727,0.3297,-0.257
2023-11,Pop,0.4297,0.3732,0.0565
2023-11,R&B,0.0727,0.0611,0.0116
2023-11,Rock,0.052,0.0296,0.0224
2023-12,Country,0.0146,0.0273,-0.0127
2023-12,Electronic,0.121,0.0567,0.0643
2023-12,Hip-Hop,0.1781,0.1058,0.0723
2023-12,Jazz,0.0,0.0009,-0.0009
2023-12,Latin,0.0671,0.3622,-0.2951
2023-12,Pop,0.4741,0.349,0.1251
2023-12,R&B,0.073,0.0592,0.0138
2023-12,Rock,0.072,0.0388,0.0332
2024-01,Classical,0.0042,0.0014,0.0028
2024-01,Country,0.0717,0.0546,0.0171
2024-01,Electronic,0.1579,0.0867,0.0712
2024-01,Hip-Hop,0.2898,0.1657,0.1241
2024-01,Jazz,0.0,0.0027,-0.0027
2024-01,Latin,0.0504,0.2826,-0.2322
2024-01,Pop,0.3117,0.3133,-0.0016
2024-01,R&B,0.0713,0.0576,0.0137
2024-01,Rock,0.043,0.0354,0.0076
2024-02,Country,0.0712,0.054,0.0172
2024-02,Electronic,0.1276,0.0697,0.0579
2024-02,Hip-Hop,0.2975,0.1673,0.1302
2024-02,Jazz,0.0,0.0018,-0.0018
2024-02,Latin,0.0393,0.2859,-0.2466
2024-02,Pop,0.3431,0.325,0.0181
2024-02,R&B,0.0972,0.0731,0.0241
2024-02,Rock,0.0241,0.0232,0.0009
2024-03,Country,0.031,0.0355,-0.0045
2024-03,Electronic,0.1123,0.062,0.0503
2024-03,Hip-Hop,0.3145,0.1763,0.1382
2024-03,Jazz,0.0,0.0012,-0.0012
2024-03,Latin,0.0328,0.2613,-0.2285
2024-03,Pop,0.3652,0.3624,0.0028
2024-03,R&B,0.1295,0.0859,0.0436
2024-03,Rock,0.0147,0.0154,-0.0007
2024-04,Country,0.0152,0.0303,-0.0151
2024-04,Electronic,0.1194,0.0682,0.0512
2024-04,Hip-Hop,0.2508,0.1538,0.097
2024-04,Jazz,0.0,0.0001,-0.0001
2024-04,Latin,0.08,0.257,-0.177
2024-04,Pop,0.413,0.4009,0.0121
2024-04,R&B,0.1142,0.0771,0.0371
2024-04,Rock,0.0074,0.0126,-0.0052
2024-05,Country,0.0119,0.0303,-0.0184
2024-05,Electronic,0.1297,0.0626,0.0671
2024-05,Hip-Hop,0.35,0.2141,0.1359
2024-05,Latin,0.0995,0.2642,-0.1647
2024-05,Pop,0.306,0.3529,-0.0469
2024-05,R&B,0.0959,0.0666,0.0293
2024-05,Rock,0.0069,0.0092,-0.0023
2024-06,Country,0.0435,0.0511,-0.0076
2024-06,Electronic,0.1555,0.0671,0.0884
2024-06,Hip-Hop,0.3246,0.1939,0.1307
2024-06,Latin,0.0948,0.2557,-0.1609
2024-06,Pop,0.3112,0.3691,-0.0579
2024-06,R&B,0.0566,0.049,0.0076
2024-06,Rock,0.0139,0.0141,-0.0002
2024-07,Country,0.0217,0.0467,-0.025
2024-07,Electronic,0.1683,0.0654,0.1029
2024-07,Hip-Hop,0.3338,0.1879,0.1459
2024-07,Latin,0.1143,0.2885,-0.1742
2024-07,Pop,0.3348,0.3611,-0.0263
2024-07,R&B,0.0133,0.0359,-0.0226
2024-07,Rock,0.0139,0.0145,-0.0006
2024-08,Country,0.0153,0.0384,-0.0231
2024-08,Electronic,0.1488,0.062,0.0868
2024-08,Hip-Hop,0.2498,0.1553,0.0945
2024-08,Latin,0.0946,0.2511,-0.1565
2024-08,Pop,0.4747,0.4537,0.021
2024-08,R&B,0.0065,0.0256,-0.0191
2024-08,Rock,0.0103,0.0139,-0.0036
2024-09,Country,0.0165,0.0371,-0.0206
2024-09,Electronic,0.0995,0.0481,0.0514
2024-09,Hip-Hop,0.2602,0.1643,0.0959
2024-09,Latin,0.0855,0.2297,-0.1442
2024-09,Pop,0.5303,0.4912,0.0391
2024-09,R&B,0.0009,0.0165,-0.0156
2024-09,Rock,0.0071,0.0132,-0.0061
2024-10,Country,0.0448,0.0462,-0.0014
2024-10,Electronic,0.0837,0.0481,0.0356
2024-10,Hip-Hop,0.2256,0.1276,0.098
2024-10,Latin,0.0833,0.2265,-0.1432
2024-10,Pop,0.552,0.5215,0.0305
2024-10,R&B,0.0002,0.0154,-0.0152
2024-10,Rock,0.0103,0.0147,-0.0044
2024-11,Country,0.046,0.0363,0.0097
2024-11,Electronic,0.0385,0.0402,-0.0017
2024-11,Hip-Hop,0.2666,0.1292,0.1374
2024-11,Jazz,0.0,0.0027,-0.0027
2024-11,Latin,0.0816,0.2098,-0.1282
2024-11,Pop,0.5622,0.5589,0.0033
2024-11,R&B,0.0004,0.0109,-0.0105
2024-11,Rock,0.0047,0.0119,-0.0072
2024-12,Country,0.0251,0.0183,0.0068
2024-12,Electronic,0.0304,0.0353,-0.0049
2024-12,Hip-Hop,0.0898,0.0746,0.0152
2024-12,Jazz,0.0,0.0115,-0.0115
2024-12,Latin,0.0679,0.2139,-0.146
2024-12,Pop,0.7406,0.5954,0.1452
2024-12,R&B,0.0049,0.026,-0.0211
2024-12,Rock,0.0412,0.025,0.0162
2025-01,Classical,0.0001,0.0,0.0001
2025-01,Country,0.0267,0.0314,-0.0047
2025-01,Electronic,0.0726,0.0342,0.0384
2025-01,Hip-Hop,0.0925,0.0652,0.0273
2025-01,Jazz,0.0,0.0052,-0.0052
2025-01,Latin,0.2405,0.3526,-0.1121
2025-01,Pop,0.5061,0.4458,0.0603
2025-01,R&B,0.0342,0.0433,-0.0091
2025-01,Rock,0.0272,0.0224,0.0048
2025-02,Country,0.0142,0.0206,-0.0064
2025-02,Electronic,0.0255,0.0205,0.005
2025-02,Hip-Hop,0.2527,0.1725,0.0802
2025-02,Jazz,0.0,0.0016,-0.0016
2025-02,Latin,0.1638,0.2823,-0.1185
2025-02,Pop,0.516,0.4603,0.0557
2025-02,R&B,0.018,0.0323,-0.0143
2025-02,Rock,0.0098,0.0099,-0.0001
2025-03,Country,0.0084,0.0228,-0.0144
2025-03,Electronic,0.0236,0.0255,-0.0019
2025-03,Hip-Hop,0.3714,0.2266,0.1448
2025-03,Jazz,0.0,0.0012,-0.0012
2025-03,Latin,0.1169,0.2279,-0.111
2025-03,Pop,0.4631,0.4656,-0.0025
2025-03,R&B,0.0109,0.0201,-0.0092
2025-03,Rock,0.0057,0.0102,-0.0045
2025-04,Country,0.0144,0.0332,-0.0188
2025-04,Electronic,0.0354,0.0321,0.0033
2025-04,Hip-Hop,0.1821,0.1347,0.0474
2025-04,Jazz,0.0,0.0014,-0.0014
