year,genre,share,track_count,is_forecast,lower,upper
1985.5,Classical,0.5893,1,False,,
1988.0,Classical,0.4137,5,False,,
1989.5,Classical,0.097,1,False,,
1989.75,Classical,0.0622,1,False,,
1991.75,Classical,0.0537,2,False,,
1994.5,Classical,0.0433,1,False,,
1995.0,Classical,0.0315,1,False,,
1995.75,Classical,0.0248,1,False,,
1999.0,Classical,0.0396,1,False,,
2001.5,Classical,0.0325,4,False,,
2002.75,Classical,0.0308,1,False,,
2004.0,Classical,0.0399,1,False,,
2004.25,Classical,0.0608,2,False,,
2004.75,Classical,0.0645,2,False,,
2005.0,Classical,0.0405,2,False,,
2005.5,Classical,0.0193,1,False,,
2007.0,Classical,0.0251,1,False,,
2007.5,Classical,0.0511,1,False,,
2009.0,Classical,0.0489,6,False,,
2010.0,Classical,0.0499,1,False,,
2011.0,Classical,0.0235,4,False,,
2014.5,Classical,0.0335,1,False,,
2014.75,Classical,0.0373,4,False,,
2015.0,Classical,0.0559,3,False,,
2015.25,Classical,0.0698,3,False,,
2016.75,Classical,0.0635,4,False,,
2017.0,Classical,0.0491,2,False,,
2017.75,Classical,0.0291,2,False,,
2018.0,Classical,0.0305,1,False,,
2018.5,Classical,0.0266,4,False,,
2019.25,Classical,0.0361,1,False,,
2019.75,Classical,0.0258,4,False,,
2022.25,Classical,0.0262,1,False,,
2023.25,Classical,0.0144,2,False,,
1980.0,Country,1.0,1,False,,
1982.0,Country,0.75,1,False,,
1984.0,Country,0.5833,1,False,,
1984.75,Country,0.2708,1,False,,
1986.0,Country,0.2083,3,False,,
1986.75,Country,0.1008,1,False,,
1987.0,Country,0.1056,11,False,,
1987.25,Country,0.1324,1,False,,
1988.0,Country,0.1642,4,False,,
1989.0,Country,0.2305,9,False,,
1989.25,Country,0.2673,8,False,,
1990.0,Country,0.3077,20,False,,
1991.0,Country,0.3824,13,False,,
1991.25,Country,0.315,2,False,,
1991.5,Country,0.196,7,False,,
1991.75,Country,0.1372,1,False,,
1992.0,Country,0.1458,11,False,,
1992.5,Country,0.1612,1,False,,
1992.75,Country,0.0855,2,False,,
1993.0,Country,0.2598,5,False,,
1993.25,Country,0.2916,3,False,,
1994.0,Country,0.303,10,False,,
1994.25,Country,0.1647,3,False,,
1994.5,Country,0.1492,5,False,,
1995.0,Country,0.1922,7,False,,
1995.5,Country,0.1689,7,False,,
1995.75,Country,0.2033,3,False,,
1996.0,Country,0.2002,12,False,,
1996.25,Country,0.1895,3,False,,
1996.5,Country,0.1838,3,False,,
1997.0,Country,0.1356,12,False,,
1997.25,Country,0.184,4,False,,
1997.75,Country,0.173,8,False,,
1998.0,Country,0.2661,10,False,,
1998.25,Country,0.1966,5,False,,
1998.5,Country,0.1605,1,False,,
1998.75,Country,0.0944,1,False,,
1999.0,Country,0.1211,11,False,,
1999.25,Country,0.2066,5,False,,
1999.5,Country,0.1713,4,False,,
1999.75,Country,0.1856,5,False,,
2000.0,Country,0.3412,6,False,,
2000.5,Country,0.3314,4,False,,
2000.75,Country,0.3025,4,False,,
2001.0,Country,0.0775,4,False,,
2001.25,Country,0.0763,2,False,,
2001.5,Country,0.0842,3,False,,
2001.75,Country,0.1272,2,False,,
2002.0,Country,0.1306,16,False,,
2002.25,Country,0.1645,3,False,,
2002.5,Country,0.0913,4,False,,
