month,genre,region,share
2024-01,Country,Africa/ME,0.0146
2024-02,Country,Africa/ME,0.0177
2024-03,Country,Africa/ME,0.0015
2024-10,Country,Africa/ME,0.0014
2023-10,Electronic,Africa/ME,0.0085
2023-11,Electronic,Africa/ME,0.0158
2023-12,Electronic,Africa/ME,0.0027
2024-01,Electronic,Africa/ME,0.0073
2024-06,Electronic,Africa/ME,0.0292
2024-07,Electronic,Africa/ME,0.0422
2024-08,Electronic,Africa/ME,0.0429
2024-09,Electronic,Africa/ME,0.0429
2024-10,Electronic,Africa/ME,0.0425
2024-11,Electronic,Africa/ME,0.0322
2024-12,Electronic,Africa/ME,0.0069
2025-01,Electronic,Africa/ME,0.0122
2025-02,Electronic,Africa/ME,0.0069
2025-03,Electronic,Africa/ME,0.0107
2025-04,Electronic,Africa/ME,0.0174
2025-05,Electronic,Africa/ME,0.0189
2025-06,Electronic,Africa/ME,0.022
2023-10,Hip-Hop,Africa/ME,0.2816
2023-11,Hip-Hop,Africa/ME,0.2222
2023-12,Hip-Hop,Africa/ME,0.2534
2024-01,Hip-Hop,Africa/ME,0.2544
2024-02,Hip-Hop,Africa/ME,0.2228
2024-03,Hip-Hop,Africa/ME,0.2841
2024-04,Hip-Hop,Africa/ME,0.3199
2024-05,Hip-Hop,Africa/ME,0.4366
2024-06,Hip-Hop,Africa/ME,0.4096
2024-07,Hip-Hop,Africa/ME,0.2983
2024-08,Hip-Hop,Africa/ME,0.2691
2024-09,Hip-Hop,Africa/ME,0.2421
2024-10,Hip-Hop,Africa/ME,0.1681
2024-11,Hip-Hop,Africa/ME,0.1635
2024-12,Hip-Hop,Africa/ME,0.1737
2025-01,Hip-Hop,Africa/ME,0.1644
2025-02,Hip-Hop,Africa/ME,0.311
2025-03,Hip-Hop,Africa/ME,0.3601
2025-04,Hip-Hop,Africa/ME,0.2886
2025-05,Hip-Hop,Africa/ME,0.2725
2025-06,Hip-Hop,Africa/ME,0.236
2023-12,Jazz,Africa/ME,0.0121
2024-01,Jazz,Africa/ME,0.0348
2024-02,Jazz,Africa/ME,0.0219
2024-03,Jazz,Africa/ME,0.0137
2024-04,Jazz,Africa/ME,0.0017
2024-11,Jazz,Africa/ME,0.0317
2024-12,Jazz,Africa/ME,0.1189
2025-01,Jazz,Africa/ME,0.0705
2025-02,Jazz,Africa/ME,0.0201
2025-03,Jazz,Africa/ME,0.0144
2025-04,Jazz,Africa/ME,0.0174
2025-05,Jazz,Africa/ME,0.0189
2025-06,Jazz,Africa/ME,0.022
2023-10,Latin,Africa/ME,0.0032
2023-11,Latin,Africa/ME,0.003
2024-04,Latin,Africa/ME,0.0232
2024-05,Latin,Africa/ME,0.0522
2024-06,Latin,Africa/ME,0.0569
2024-07,Latin,Africa/ME,0.0493
2024-08,Latin,Africa/ME,0.0194
2024-09,Latin,Africa/ME,0.0276
2024-10,Latin,Africa/ME,0.022
2024-11,Latin,Africa/ME,0.0123
2024-12,Latin,Africa/ME,0.0017
2025-01,Latin,Africa/ME,0.0431
2025-02,Latin,Africa/ME,0.0348
2025-03,Latin,Africa/ME,0.0204
2025-04,Latin,Africa/ME,0.0181
2025-05,Latin,Africa/ME,0.0255
2025-06,Latin,Africa/ME,0.022
2023-10,Pop,Africa/ME,0.5282
2023-11,Pop,Africa/ME,0.5138
2023-12,Pop,Africa/ME,0.4671
2024-01,Pop,Africa/ME,0.4728
2024-02,Pop,Africa/ME,0.4808
2024-03,Pop,Africa/ME,0.4702
2024-04,Pop,Africa/ME,0.4449
2024-05,Pop,Africa/ME,0.3521
2024-06,Pop,Africa/ME,0.3622
2024-07,Pop,Africa/ME,0.4065
2024-08,Pop,Africa/ME,0.4654
2024-09,Pop,Africa/ME,0.5324
2024-10,Pop,Africa/ME,0.6175
2024-11,Pop,Africa/ME,0.6469
2024-12,Pop,Africa/ME,0.6011
2025-01,Pop,Africa/ME,0.5827
2025-02,Pop,Africa/ME,0.5269
2025-03,Pop,Africa/ME,0.542
2025-04,Pop,Africa/ME,0.556
2025-05,Pop,Africa/ME,0.5255
2025-06,Pop,Africa/ME,0.538
2023-10,R&B,Africa/ME,0.1371
2023-11,R&B,Africa/ME,0.2059
2023-12,R&B,Africa/ME,0.2036
2024-01,R&B,Africa/ME,0.164
2024-02,R&B,Africa/ME,0.2057
2024-03,R&B,Africa/ME,0.1941
2024-04,R&B,Africa/ME,0.1688
2024-05,R&B,Africa/ME,0.1348
2024-06,R&B,Africa/ME,0.1172
2024-07,R&B,Africa/ME,0.1799
2024-08,R&B,Africa/ME,0.1751
2024-09,R&B,Africa/ME,0.1268
2024-10,R&B,Africa/ME,0.121
2024-11,R&B,Africa/ME,0.0802
2024-12,R&B,Africa/ME,0.0789
2025-01,R&B,Africa/ME,0.1096
2025-02,R&B,Africa/ME,0.0926
2025-03,R&B,Africa/ME,0.0524
2025-04,R&B,Africa/ME,0.0978
2025-05,R&B,Africa/ME,0.1259
2025-06,R&B,Africa/ME,0.116
2023-10,Rock,Africa/ME,0.0414
2023-11,Rock,Africa/ME,0.0394
2023-12,Rock,Africa/ME,0.0612
2024-01,Rock,Africa/ME,0.0522
2024-02,Rock,Africa/ME,0.0511
2024-03,Rock,Africa/ME,0.0364
2024-04,Rock,Africa/ME,0.0415
2024-05,Rock,Africa/ME,0.0243
2024-06,Rock,Africa/ME,0.0249
2024-07,Rock,Africa/ME,0.0238
2024-08,Rock,Africa/ME,0.0281
